00003_baalaaxeechia_universe-everything-around-us|baalaaxeechia
00037_aachuahche-_corner-in-an-argument-cro_FemaleCitation_CGL_1|aachuahche
00037_aachuahche-_corner-in-an-argument-cro_FemaleStem_CGL_3|aachuahche
00057_aakaako_outer-part-top_FemaleCitation_CGL_1|aakaako
00057_aakaako_outer-part-top_FemaleCitation_CGL_2|aakaako
00069_aakalee-_squirt-on-spray-on-as-a-s_FemaleCitation_CGL_3|aakalee
00069_aakalee-_squirt-on-spray-on-as-a-s_FemaleStem_CGL_1|aakalee
00093_aakii_in-plain-sight_FemaleCitation_CGL_2|aakii
00094_aakiiwilaxpaakbaaiilapxisaahkuua_Secretary-of-the-Interior_FemaleCitation_CGL_3|aakiiwilaxpaakbaaiilapxisaahkuua
00106_aakkapee-_to-freeze-frozen_FemaleCitation_CGL_1|aakkapee
00106_aakkapee-_to-freeze-frozen_FemaleStem_CGL_1|aakkapee
00111_bileewilaakaan-dusaatuua_very-hot-outside-litso-ho_FemaleCitation_CGL_1|bileewilaakaan dusaatuua
00111_bileewilaakaan-dusaatuua_very-hot-outside-litso-ho_FemaleStem_CGL_1|bileewilaakaan dusaatuua
00111_bileewilaakaan-dusaatuua_very-hot-outside-litso-ho_FemaleStem_CGL_2|bileewilaakaan dusaatuua
00135_aalashkukaashe_very-late_FemaleCitation_CGL_2|aalashkukaashe
00135_aalashkukaashe_very-late_FemaleCitation_CGL_3|aalashkukaashe
00135_aalashkukaashe_very-late_FemaleCitation_CGL_4|aalashkukaashe
00135_aalashkukaashe_very-late_FemaleCitation_CGL_5|aalashkukaashe
00135_aalashkukaashe_very-late_FemaleCitation_CGL_6|aalashkukaashe
00135_aalashkukaashe_very-late_FemaleStem_CGL_1|aalashkukaashe
00143_aalawaase-alataate_bicep-area_FemaleCitation_CGL_2|aalawaase alataate
00144_aalawe-_prolong--stall--delay_FemaleCitation_CGL_2|aalawe
00144_aalawe-_prolong--stall--delay_FemaleStem_CGL_2|aalawe
00155_Aalalashikupash-Isalasahte_Crooked-Arm-Creek_FemaleCitation_CGL_2|aalalashikupash isalasahte
00186_aapbiaxsee-_area-under-chin_FemaleCitation_CGL_1|aapbiaxsee
00191_aapchiaxxo-_sprinkle-pour-over_FemaleCitation_CGL_2|aapchiaxxo
00191_aapchiaxxo-_sprinkle-pour-over_FemaleStem_CGL_2|aapchiaxxo
00197_aapchileexee-_have-a-scratchy-throat-ha_FemaleCitation_CGL_2|aapchileexee
00197_aapchileexee-_have-a-scratchy-throat-ha_FemaleStem_CGL_2|aapchileexee
00226_Aashaashuuxaape_Big-Hole-River-Flathead-R_FemaleCitation_CGL_2|aashaashuuxaape
00227_Aashalattatche-_Madison-River_FemaleCitation_CGL_2|aashalattatche
00230_aashannashe-_vacated-campground-regula_FemaleCitation_CGL_2|aashannashe
00234_Aashawua_Platte-Ridge_FemaleStem_CGL_1|aashawua
00245_aashdee-_go-hunting_FemaleCitation_CGL_1|aashdee
00245_aashdee-_go-hunting_FemaleStem_CGL_2|aashdee
00253_Aashisee-_Missouri-River-Big-River_FemaleCitation_CGL_3|aashisee
00258_Aashkaatashalaichchishkaluua_Big-Coulee-Creek_FemaleCitation_CGL_6|aashkaatashalaichchishkaluua
00284_aashuualapapasshe-_skull_FemaleCitation_CGL_2|aashuualapapasshe
00285_aashuualashooshiwe-_antlers_FemaleCitation_CGL_3|aashuualashooshiwe
00286_aashuualee-_to-have-a-headache_FemaleCitation_CGL_3|aashuualee
00286_aashuualee-_to-have-a-headache_FemaleStem_CGL_3|aashuualee
00287_Aashuuchoosalaho-_Dryhead-near-Pryor-MT_FemaleCitation_CGL_2|aashuuchoosalaho
00306_aasshiiiliakisshe-_buttercup-plant-crowfoot_FemaleCitation_CGL_2|aasshiiiliakisshe
00308_aasshua-_to-spit-on_FemaleCitation_CGL_1|aasshua
00308_aasshua-_to-spit-on_FemaleStem_CGL_2|aasshua
00316_aatbiaxsee-_area-under-breast_FemaleCitation_CGL_2|aatbiaxsee
00336_aaxxaapashko-_circumcise_FemaleCitation_CGL_2|aaxxaapashko
00343_aaxxiia-_to-form-a-circle-around-s_FemaleCitation_CGL_1|aaxxiia
00343_aaxxiia-_to-form-a-circle-around-s_FemaleStem_CGL_2|aaxxiia
00344_aaxxinne-_retain-for-oneself-to-not_FemaleCitation_CGL_1|aaxxinne
00344_aaxxinne-_retain-for-oneself-to-not_FemaleStem_CGL_2|aaxxinne
00345_achaxpaa_together_FemaleCitation_CGL_2|achaxpaa
00357_achuutchua-_finely-cut_FemaleCitation_CGL_2|achuutchua
00357_achuutchua-_finely-cut_FemaleStem_CGL_2|achuutchua
00384_ahkuxpatchiahche-_have-ears-perked-to-hear-_FemaleCitation_CGL_1|ahkuxpatchiahche
00384_ahkuxpatchiahche-_have-ears-perked-to-hear-_FemaleStem_CGL_1|ahkuxpatchiahche
00390_ahoohee-_give-thanks-say-thank-you_FemaleCitation_CGL_2|ahoohee
00390_ahoohee-_give-thanks-say-thank-you_FemaleStem_CGL_2|ahoohee
00399_ahpaaxanneete-_clear-sky-visible-behind-_FemaleCitation_CGL_2|ahpaaxanneete
00401_ahpaaxbishi-_dark-clouds-or-sky_FemaleCitation_CGL_2|ahpaaxbishi
00401_ahpaaxbishi-_dark-clouds-or-sky_FemaleStem_CGL_1|ahpaaxbishi
417.2_buupche-kuluttuua_rebound_FemaleCitation_CGL_1|buupche kuluttuua
417.2_buupche-kuluttuua_rebound_FemaleStem_CGL_2|buupche kuluttuua
